#Navio B MarAd
#Manobra de Curva                     de Zig-Zag
#
#velocidade no Sistema Solidário 
#
#temp           u           v           w dot                     roll   dot pitch     dot yaw 
 39.20        8.01457e+00        -6.53400e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.32948e-03 
 39.90        8.00783e+00        -6.67490e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.41671e-03 
 40.60        8.00095e+00        -6.81556e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.50296e-03 
 41.30        7.99393e+00        -6.95595e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.58822e-03 
 42.00        7.98676e+00        -7.09602e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.67251e-03 
 42.70        7.97944e+00        -7.23573e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.75580e-03 
 43.40        7.97197e+00        -7.37504e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.83810e-03 
 44.10        7.96435e+00        -7.51391e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.91940e-03 
 44.80        7.95659e+00        -7.65231e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.99970e-03 
 45.50        7.94867e+00        -7.79018e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.07899e-03 
 46.20        7.94059e+00        -7.92750e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.15728e-03 
 46.90        7.93237e+00        -8.06423e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.23455e-03 
 47.60        7.92399e+00        -8.20034e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.31080e-03 
 48.30        7.91546e+00        -8.33578e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.38603e-03 
 49.00        7.90677e+00        -8.47053e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.46023e-03 
 49.70        7.89792e+00        -8.60455e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.53341e-03 
 50.40        7.88893e+00        -8.73780e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.60555e-03 
 51.10        7.87977e+00        -8.87027e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.67665e-03 
 51.80        7.87046e+00        -9.00190e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.74671e-03 
 52.50        7.86100e+00        -9.13268e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.81573e-03 
 53.20        7.85138e+00        -9.26258e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.88370e-03 
 53.90        7.84160e+00        -9.39156e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.95062e-03 
 54.60        7.83167e+00        -9.51960e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.01649e-03 
 55.30        7.82159e+00        -9.64666e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.08130e-03 
 56.00        7.81135e+00        -9.77274e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.14506e-03 
 56.70        7.80096e+00        -9.89779e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.20776e-03 
 57.40        7.79041e+00        -1.00218e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.26940e-03 
 58.10        7.77972e+00        -1.01447e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.32998e-03 
 58.80        7.76887e+00        -1.02666e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.38950e-03 
 59.50        7.75787e+00        -1.03873e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.44795e-03 
 60.20        7.74672e+00        -1.05069e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.50534e-03 
 60.90        7.73543e+00        -1.06253e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.56167e-03 
